customer_id,account_age_days,monthly_orders,avg_order_value,days_since_last_order,customer_ltv,app_engagement_score,num_favorites,review_count,used_scheduling,used_group_order,discount_pct,offer_duration_days,channel,offer_send_hour,offer_day_of_week,previous_offers_sent,previous_offers_accepted,converted
CUST_00000,430.8622901764626,3,30.656103088220707,7.037531099654359,1320.85587844765,12.398972654779618,3.0,0.0,0,0,10,30,in_app,5,1,3,0,0
CUST_00001,269.0036514388058,8,17.573118648866366,37.36062361921941,1260.5954889899801,111.22358718771599,2.0,1.0,1,0,10,14,push,18,3,5,1,0
CUST_00002,248.81104518677165,0,44.71405401943831,64.64562317998517,0.0,14.653859316661844,2.0,3.0,1,0,20,7,email,5,4,2,0,0
CUST_00003,248.81441297972412,3,43.41061398584673,22.121731318270385,1080.1186435977854,8.104748529966322,1.0,0.0,0,0,30,14,sms,18,6,4,1,0
CUST_00004,836.9485942015172,2,49.31491527289745,14.63894111945555,2751.6032673878967,20.39521133515913,3.0,2.0,0,0,20,14,email,8,5,2,1,0
CUST_00005,516.00712157356,1,17.88230120658688,2.4360487140524203,307.5798257574098,20.234037658800506,6.0,1.0,0,0,20,14,sms,5,6,4,0,0
CUST_00006,203.59404031336183,3,37.670186604069094,40.55945406483601,766.9425490080705,35.996199994095015,5.0,3.0,0,0,20,7,push,17,6,3,1,0
CUST_00007,444.5666052176184,7,22.891596546950478,22.499786026658978,2374.595851807464,31.128679703281115,0.0,4.0,0,0,10,7,sms,11,4,3,1,0
CUST_00008,359.81284753163646,6,58.72337230990468,,4225.884761497451,40.470450329278925,1.0,1.0,0,1,30,14,email,12,5,4,0,0
CUST_00009,38.86468982830537,6,42.76022606201631,9.480835809704145,332.3725845776967,48.47350116495044,4.0,4.0,0,1,30,7,push,20,2,3,1,0
CUST_00010,120.82361088378713,4,22.33352703673382,1.0509463973543922,359.78898404651557,32.021348457606045,6.0,3.0,0,0,10,30,sms,9,6,1,0,0
CUST_00011,379.1098147226694,5,61.82731896220185,,3906.557239426622,8.232579551853483,1.0,0.0,0,0,10,7,email,7,3,1,0,0
